log_id,timestamp,system_name,log_level,user_id,session_id,message,error_code,response_time_ms,source_ip
LOG000001,2025-09-13 07:29:13,AUTH_SERVICE,WARN,USR4730,SESS227414,System operation initiated,,4018,143.60.118.255
LOG000002,2025-09-09 20:17:13,DATABASE,INFO,USR2671,SESS536451,System operation initiated,ERR487,3361,237.65.93.21
LOG000003,2025-09-14 11:04:13,DATABASE,ERROR,,SESS337780,System operation initiated,,4805,194.156.91.112
LOG000004,2025-09-11 10:15:13,DATABASE,ERROR,USR3684,SESS966056,System operation failed,ERR363,2359,108.192.106.91
LOG000005,2025-09-12 10:37:13,USER_PORTAL,INFO,,SESS517395,System operation terminated,,3612,137.203.220.127
LOG000006,2025-09-09 14:46:13,USER_PORTAL,INFO,USR4740,SESS508925,System operation completed,,1251,160.78.77.39
LOG000007,2025-09-11 10:46:13,API_GATEWAY,DEBUG,USR9002,SESS104109,System operation failed,ERR567,1135,98.74.25.203
LOG000008,2025-09-10 17:40:13,USER_PORTAL,ERROR,USR9932,SESS623001,System operation completed,,2611,211.114.73.169
LOG000009,2025-09-15 02:52:13,AUTH_SERVICE,ERROR,,SESS869579,System operation completed,,1200,19.85.76.145
LOG000010,2025-09-15 07:35:13,AUTH_SERVICE,ERROR,USR4071,SESS737914,System operation failed,,4141,224.211.233.180
LOG000011,2025-09-12 05:37:13,DATABASE,ERROR,USR1484,SESS147562,System operation initiated,,4849,105.174.234.158
LOG000012,2025-09-13 00:31:13,API_GATEWAY,WARN,,SESS673883,System operation terminated,,4458,184.192.111.249
LOG000013,2025-09-11 14:11:13,USER_PORTAL,DEBUG,USR1201,SESS168629,System operation terminated,ERR289,82,53.216.124.116
LOG000014,2025-09-13 23:31:13,DATABASE,ERROR,USR6600,SESS793709,System operation initiated,,1924,101.185.241.180
LOG000015,2025-09-14 05:30:13,API_GATEWAY,WARN,USR3289,SESS955328,System operation failed,ERR169,2482,6.236.28.36
LOG000016,2025-09-13 15:24:13,AUTH_SERVICE,ERROR,USR4445,SESS124926,System operation initiated,ERR514,3056,166.61.94.103
LOG000017,2025-09-09 16:10:13,USER_PORTAL,INFO,USR2046,SESS927903,System operation initiated,,717,14.113.142.208
LOG000018,2025-09-13 17:05:13,USER_PORTAL,DEBUG,,SESS629076,System operation failed,ERR345,1814,211.96.13.174
LOG000019,2025-09-11 23:53:13,DATABASE,INFO,USR5594,SESS703871,System operation terminated,,3723,228.66.69.17
LOG000020,2025-09-13 16:10:13,API_GATEWAY,INFO,,SESS179507,System operation initiated,,2574,188.96.122.64
LOG000021,2025-09-11 02:25:13,DATABASE,ERROR,,SESS266753,System operation initiated,,2485,98.180.117.91
LOG000022,2025-09-14 20:07:13,AUTH_SERVICE,INFO,USR4041,SESS149431,System operation initiated,,3620,174.78.144.119
LOG000023,2025-09-10 06:43:13,USER_PORTAL,DEBUG,USR5085,SESS444241,System operation failed,ERR941,4265,20.199.13.26
LOG000024,2025-09-15 08:45:13,AUTH_SERVICE,DEBUG,USR2378,SESS200876,System operation completed,,2833,177.41.208.183
LOG000025,2025-09-14 14:38:13,API_GATEWAY,ERROR,USR1635,SESS832958,System operation terminated,ERR388,1745,135.190.214.13
LOG000026,2025-09-12 07:13:13,DATABASE,DEBUG,USR6625,SESS312964,System operation completed,,1595,222.215.178.209
LOG000027,2025-09-09 11:18:13,PAYMENT_GATEWAY,ERROR,,SESS849429,System operation completed,,76,249.150.252.229
LOG000028,2025-09-11 18:26:13,DATABASE,ERROR,,SESS966016,System operation terminated,,3071,46.106.77.77
LOG000029,2025-09-09 12:28:13,PAYMENT_GATEWAY,INFO,USR1078,SESS642536,System operation initiated,ERR389,2438,178.87.116.181
LOG000030,2025-09-11 05:02:13,DATABASE,ERROR,,SESS215782,System operation terminated,,4163,95.184.28.184
LOG000031,2025-09-09 12:30:13,AUTH_SERVICE,ERROR,,SESS311226,System operation completed,ERR375,351,218.204.146.124
LOG000032,2025-09-13 06:15:13,PAYMENT_GATEWAY,ERROR,,SESS972170,System operation completed,,2784,37.125.209.169
LOG000033,2025-09-10 07:20:13,USER_PORTAL,INFO,,SESS677383,System operation initiated,ERR575,2827,40.138.106.148
LOG000034,2025-09-10 11:14:13,AUTH_SERVICE,INFO,USR2534,SESS269731,System operation completed,,2671,211.113.212.170
LOG000035,2025-09-15 08:50:13,AUTH_SERVICE,DEBUG,USR6673,SESS516150,System operation failed,,1242,76.80.204.142
LOG000036,2025-09-10 04:05:13,DATABASE,ERROR,USR2329,SESS902024,System operation initiated,,3884,48.210.175.129
LOG000037,2025-09-13 06:03:13,DATABASE,INFO,USR1374,SESS694359,System operation terminated,ERR726,2411,207.20.153.230
LOG000038,2025-09-09 16:05:13,API_GATEWAY,INFO,USR9912,SESS905794,System operation completed,,1504,222.78.194.117
LOG000039,2025-09-11 08:19:13,AUTH_SERVICE,WARN,USR7017,SESS919176,System operation initiated,ERR473,4221,84.56.149.176
LOG000040,2025-09-09 23:56:13,DATABASE,DEBUG,,SESS918265,System operation initiated,,671,18.22.58.111
LOG000041,2025-09-10 13:23:13,API_GATEWAY,WARN,,SESS286280,System operation terminated,,3893,48.44.109.239
LOG000042,2025-09-13 07:36:13,AUTH_SERVICE,INFO,USR7583,SESS522516,System operation terminated,,3629,11.226.247.101
LOG000043,2025-09-09 09:35:13,PAYMENT_GATEWAY,WARN,,SESS594582,System operation terminated,,1878,29.32.137.164
LOG000044,2025-09-11 05:47:13,PAYMENT_GATEWAY,DEBUG,USR2407,SESS650699,System operation failed,,2344,43.19.163.139
LOG000045,2025-09-13 14:36:13,USER_PORTAL,ERROR,USR6912,SESS493563,System operation terminated,,3384,223.213.41.3
LOG000046,2025-09-11 19:58:13,API_GATEWAY,ERROR,USR7616,SESS690651,System operation terminated,,1026,11.5.30.63
LOG000047,2025-09-15 08:27:13,API_GATEWAY,ERROR,,SESS741931,System operation failed,,4416,162.41.213.45
LOG000048,2025-09-11 12:49:13,PAYMENT_GATEWAY,WARN,,SESS192755,System operation initiated,ERR428,217,25.91.170.247
LOG000049,2025-09-15 08:27:13,PAYMENT_GATEWAY,INFO,USR3294,SESS743503,System operation terminated,,2675,117.245.94.25
LOG000050,2025-09-14 04:18:13,API_GATEWAY,ERROR,USR6216,SESS732709,System operation failed,,2503,18.137.33.6
LOG000051,2025-09-09 20:55:13,DATABASE,DEBUG,USR1826,SESS757642,System operation initiated,,642,17.251.81.111
LOG000052,2025-09-10 09:27:13,API_GATEWAY,ERROR,,SESS628358,System operation initiated,ERR195,2112,91.48.159.44
LOG000053,2025-09-13 21:48:13,PAYMENT_GATEWAY,INFO,,SESS794920,System operation initiated,,2969,244.210.190.39
LOG000054,2025-09-15 14:59:13,DATABASE,INFO,,SESS580261,System operation initiated,ERR570,3093,102.67.232.182
LOG000055,2025-09-13 13:11:13,DATABASE,WARN,USR8487,SESS523252,System operation initiated,,4762,108.129.116.226
LOG000056,2025-09-12 08:35:13,DATABASE,DEBUG,USR8251,SESS495437,System operation failed,,1941,104.84.220.4
LOG000057,2025-09-12 20:23:13,AUTH_SERVICE,INFO,,SESS856471,System operation initiated,,3729,170.80.186.85
LOG000058,2025-09-12 18:53:13,PAYMENT_GATEWAY,INFO,USR1398,SESS308785,System operation completed,ERR352,2572,101.191.63.112
LOG000059,2025-09-09 10:13:13,PAYMENT_GATEWAY,ERROR,,SESS174282,System operation completed,ERR725,1689,15.235.253.7
LOG000060,2025-09-14 04:46:13,AUTH_SERVICE,INFO,USR5739,SESS500689,System operation initiated,,246,93.206.72.166
LOG000061,2025-09-11 23:31:13,AUTH_SERVICE,ERROR,USR1391,SESS327933,System operation completed,ERR264,4453,230.55.90.227
LOG000062,2025-09-10 18:33:13,DATABASE,WARN,USR2225,SESS365173,System operation completed,,4735,215.151.130.189
LOG000063,2025-09-10 08:27:13,USER_PORTAL,WARN,USR3277,SESS808341,System operation initiated,,1550,49.120.232.216
LOG000064,2025-09-14 00:58:13,API_GATEWAY,WARN,,SESS740643,System operation completed,ERR458,3953,59.13.85.114
LOG000065,2025-09-15 00:00:13,DATABASE,DEBUG,USR6325,SESS700343,System operation completed,ERR286,373,99.221.32.121
LOG000066,2025-09-12 18:33:13,USER_PORTAL,DEBUG,USR8675,SESS784273,System operation failed,,2378,62.123.124.231
LOG000067,2025-09-12 05:23:13,USER_PORTAL,ERROR,USR2162,SESS782690,System operation completed,,295,193.99.44.91
LOG000068,2025-09-13 12:32:13,DATABASE,INFO,USR7735,SESS216240,System operation failed,,158,78.116.147.122
LOG000069,2025-09-13 01:37:13,PAYMENT_GATEWAY,DEBUG,USR5867,SESS755193,System operation completed,,4047,211.229.67.1
LOG000070,2025-09-10 15:17:13,API_GATEWAY,INFO,,SESS654681,System operation terminated,,4561,193.146.71.160
LOG000071,2025-09-14 05:03:13,PAYMENT_GATEWAY,INFO,,SESS211011,System operation initiated,,1776,98.208.83.70
LOG000072,2025-09-13 10:42:13,PAYMENT_GATEWAY,INFO,USR4946,SESS519948,System operation failed,,4905,39.114.132.71
LOG000073,2025-09-14 05:31:13,PAYMENT_GATEWAY,ERROR,USR8231,SESS429257,System operation completed,,1022,123.10.123.67
LOG000074,2025-09-14 23:47:13,AUTH_SERVICE,ERROR,,SESS707264,System operation completed,ERR540,2841,52.242.221.111
LOG000075,2025-09-16 02:43:13,DATABASE,INFO,USR5309,SESS887370,System operation initiated,,2517,206.153.138.221
LOG000076,2025-09-14 02:18:13,API_GATEWAY,ERROR,USR4984,SESS358210,System operation terminated,,1533,125.181.64.38
LOG000077,2025-09-10 17:23:13,AUTH_SERVICE,INFO,,SESS370412,System operation failed,,2795,234.187.208.163
LOG000078,2025-09-10 19:13:13,USER_PORTAL,WARN,,SESS648732,System operation completed,,2566,56.44.165.231
LOG000079,2025-09-12 01:36:13,AUTH_SERVICE,WARN,USR6797,SESS668436,System operation terminated,,3735,180.239.77.192
LOG000080,2025-09-09 14:53:13,API_GATEWAY,ERROR,USR8648,SESS310843,System operation failed,,4586,42.14.154.34
LOG000081,2025-09-16 05:42:13,USER_PORTAL,INFO,,SESS104734,System operation failed,ERR422,1611,79.189.116.42
LOG000082,2025-09-14 15:21:13,AUTH_SERVICE,DEBUG,,SESS173380,System operation completed,ERR876,2418,153.105.11.178
LOG000083,2025-09-10 20:55:13,AUTH_SERVICE,DEBUG,USR5263,SESS618861,System operation initiated,,350,144.32.83.39
LOG000084,2025-09-15 09:11:13,DATABASE,ERROR,USR4757,SESS541101,System operation terminated,,2827,116.143.124.247
LOG000085,2025-09-13 07:03:13,AUTH_SERVICE,INFO,USR8184,SESS700835,System operation failed,,2506,99.190.48.159
LOG000086,2025-09-10 13:12:13,API_GATEWAY,ERROR,,SESS220361,System operation terminated,ERR884,4940,223.1.69.72
LOG000087,2025-09-12 04:27:13,API_GATEWAY,DEBUG,USR8752,SESS620941,System operation completed,,1735,206.78.239.186
LOG000088,2025-09-11 00:23:13,AUTH_SERVICE,ERROR,USR9898,SESS919799,System operation completed,ERR535,1699,138.148.84.175
LOG000089,2025-09-10 20:27:13,PAYMENT_GATEWAY,ERROR,,SESS574154,System operation failed,,3277,232.198.208.135
LOG000090,2025-09-10 11:35:13,PAYMENT_GATEWAY,INFO,USR3605,SESS676796,System operation completed,,4416,155.113.6.133
LOG000091,2025-09-14 03:08:13,USER_PORTAL,WARN,USR7473,SESS122615,System operation terminated,,271,87.22.19.46
LOG000092,2025-09-15 17:45:13,API_GATEWAY,INFO,USR5324,SESS854088,System operation failed,,1452,217.221.127.250
LOG000093,2025-09-10 20:25:13,API_GATEWAY,WARN,,SESS331260,System operation completed,,415,193.97.104.95
LOG000094,2025-09-16 04:46:13,AUTH_SERVICE,ERROR,,SESS993386,System operation initiated,,2200,129.236.150.195
LOG000095,2025-09-09 13:10:13,AUTH_SERVICE,WARN,USR2936,SESS358147,System operation completed,,4447,22.250.89.7
LOG000096,2025-09-10 06:25:13,USER_PORTAL,DEBUG,,SESS472894,System operation initiated,,253,43.131.24.86
LOG000097,2025-09-12 05:56:13,USER_PORTAL,WARN,USR9446,SESS533636,System operation failed,,4595,209.190.31.170
LOG000098,2025-09-11 01:11:13,AUTH_SERVICE,DEBUG,,SESS767348,System operation terminated,,4117,24.199.228.235
LOG000099,2025-09-13 21:17:13,PAYMENT_GATEWAY,INFO,USR3372,SESS492341,System operation initiated,,570,16.240.34.43
LOG000100,2025-09-09 19:39:13,DATABASE,WARN,,SESS259298,System operation initiated,,4147,10.207.34.14
LOG000101,2025-09-11 13:19:13,API_GATEWAY,INFO,USR8281,SESS686515,System operation completed,ERR455,2735,11.9.45.78
LOG000102,2025-09-09 15:23:13,API_GATEWAY,DEBUG,,SESS283576,System operation failed,,603,168.43.60.139
LOG000103,2025-09-11 05:44:13,DATABASE,INFO,,SESS354279,System operation terminated,,1836,105.183.149.86
LOG000104,2025-09-15 06:45:13,DATABASE,DEBUG,USR1956,SESS913557,System operation failed,,3239,32.231.53.17
LOG000105,2025-09-12 21:19:13,API_GATEWAY,ERROR,,SESS633510,System operation failed,,3297,39.17.167.185
LOG000106,2025-09-13 01:58:13,USER_PORTAL,ERROR,USR5219,SESS516344,System operation failed,,4083,232.211.228.215
LOG000107,2025-09-10 02:19:13,PAYMENT_GATEWAY,WARN,,SESS180891,System operation terminated,ERR176,143,228.224.113.223
LOG000108,2025-09-14 00:41:13,API_GATEWAY,INFO,USR3716,SESS743796,System operation initiated,,3148,200.46.51.255
LOG000109,2025-09-16 07:45:13,PAYMENT_GATEWAY,ERROR,USR3827,SESS956031,System operation completed,,3929,49.1.223.37
LOG000110,2025-09-14 13:33:13,AUTH_SERVICE,ERROR,USR8255,SESS691161,System operation initiated,,82,23.18.39.250
LOG000111,2025-09-15 22:15:13,DATABASE,DEBUG,USR9527,SESS540257,System operation completed,,4504,190.16.59.62
LOG000112,2025-09-09 17:56:13,PAYMENT_GATEWAY,WARN,USR6564,SESS727505,System operation initiated,,4235,62.225.101.66
LOG000113,2025-09-12 03:33:13,PAYMENT_GATEWAY,WARN,,SESS229634,System operation failed,,2988,139.72.167.12
LOG000114,2025-09-12 17:12:13,DATABASE,DEBUG,USR2803,SESS588309,System operation initiated,,4371,52.213.138.120
LOG000115,2025-09-13 07:11:13,DATABASE,DEBUG,,SESS287222,System operation initiated,,1995,220.102.112.255
LOG000116,2025-09-15 21:18:13,USER_PORTAL,WARN,USR1202,SESS634272,System operation failed,,802,114.57.129.97
LOG000117,2025-09-15 01:52:13,PAYMENT_GATEWAY,WARN,,SESS238847,System operation initiated,,4269,241.172.107.150
LOG000118,2025-09-12 10:41:13,API_GATEWAY,INFO,,SESS511851,System operation initiated,,104,248.62.80.159
LOG000119,2025-09-14 23:56:13,PAYMENT_GATEWAY,DEBUG,USR2856,SESS529461,System operation terminated,,1143,119.26.142.89
LOG000120,2025-09-13 13:37:13,DATABASE,INFO,USR2154,SESS228211,System operation failed,,4927,148.171.33.47
LOG000121,2025-09-14 03:34:13,AUTH_SERVICE,WARN,USR8135,SESS841355,System operation completed,,247,197.91.162.183
LOG000122,2025-09-13 18:41:13,PAYMENT_GATEWAY,DEBUG,,SESS212239,System operation terminated,ERR130,2956,126.64.52.28
LOG000123,2025-09-14 23:46:13,AUTH_SERVICE,DEBUG,,SESS448154,System operation completed,,2540,187.212.54.230
LOG000124,2025-09-11 11:51:13,USER_PORTAL,WARN,USR7717,SESS774615,System operation failed,,1970,116.9.51.92
LOG000125,2025-09-15 08:57:13,AUTH_SERVICE,DEBUG,USR8545,SESS672832,System operation failed,,1058,74.98.230.205
LOG000126,2025-09-10 00:58:13,PAYMENT_GATEWAY,ERROR,,SESS874842,System operation terminated,,2539,29.162.1.209
LOG000127,2025-09-15 22:38:13,AUTH_SERVICE,ERROR,,SESS443449,System operation completed,,2974,188.139.241.165
LOG000128,2025-09-12 18:04:13,USER_PORTAL,ERROR,USR6036,SESS501104,System operation terminated,,973,174.31.8.171
LOG000129,2025-09-15 17:53:13,PAYMENT_GATEWAY,INFO,USR5177,SESS621301,System operation initiated,,546,222.35.164.174
LOG000130,2025-09-14 10:06:13,API_GATEWAY,INFO,,SESS635288,System operation completed,,4233,191.212.233.184
LOG000131,2025-09-11 21:17:13,PAYMENT_GATEWAY,ERROR,,SESS398945,System operation terminated,ERR317,3689,172.57.191.242
LOG000132,2025-09-12 23:06:13,AUTH_SERVICE,ERROR,USR6257,SESS857344,System operation completed,,4197,33.19.213.240
LOG000133,2025-09-14 00:25:13,PAYMENT_GATEWAY,DEBUG,,SESS742234,System operation terminated,,3734,74.153.58.211
LOG000134,2025-09-09 09:19:13,USER_PORTAL,DEBUG,USR3739,SESS326048,System operation completed,,552,130.155.92.7
LOG000135,2025-09-12 21:55:13,USER_PORTAL,ERROR,,SESS919709,System operation failed,,855,63.226.116.44
LOG000136,2025-09-11 11:38:13,API_GATEWAY,ERROR,USR2661,SESS957189,System operation failed,ERR653,3613,231.182.228.243
LOG000137,2025-09-12 12:04:13,AUTH_SERVICE,ERROR,USR2986,SESS916584,System operation terminated,,3046,129.49.133.253
LOG000138,2025-09-14 09:45:13,USER_PORTAL,ERROR,,SESS926623,System operation completed,,2504,180.185.244.201
LOG000139,2025-09-09 22:32:13,AUTH_SERVICE,WARN,USR6208,SESS228122,System operation terminated,,4495,143.111.236.204
LOG000140,2025-09-10 10:07:13,API_GATEWAY,DEBUG,USR6326,SESS667344,System operation completed,ERR459,2729,96.59.131.163
LOG000141,2025-09-14 05:40:13,AUTH_SERVICE,WARN,USR3525,SESS663008,System operation failed,,1894,153.107.9.174
LOG000142,2025-09-10 22:05:13,DATABASE,WARN,USR2847,SESS503969,System operation initiated,ERR356,4148,222.138.140.125
LOG000143,2025-09-13 23:05:13,API_GATEWAY,INFO,USR1393,SESS175564,System operation failed,,4359,226.6.238.87
LOG000144,2025-09-14 15:47:13,DATABASE,DEBUG,USR3322,SESS293025,System operation completed,,3211,89.108.144.29
LOG000145,2025-09-11 04:57:13,DATABASE,ERROR,,SESS929408,System operation failed,,2720,117.218.250.2
LOG000146,2025-09-14 18:37:13,DATABASE,DEBUG,,SESS337819,System operation terminated,,1963,199.209.4.23
LOG000147,2025-09-09 23:54:13,DATABASE,DEBUG,,SESS222288,System operation completed,ERR583,4747,47.75.236.182
LOG000148,2025-09-13 14:49:13,API_GATEWAY,ERROR,USR1677,SESS251864,System operation terminated,ERR948,3860,84.191.121.183
LOG000149,2025-09-11 21:53:13,API_GATEWAY,WARN,,SESS560575,System operation terminated,ERR357,699,45.138.106.252
LOG000150,2025-09-11 06:44:13,USER_PORTAL,DEBUG,,SESS973529,System operation initiated,,1960,22.125.120.60
