log_id,timestamp,system_name,log_level,user_id,session_id,message,error_code,response_time_ms,source_ip
LOG000151,2025-09-09 22:26:13,AUTH_SERVICE,DEBUG,USR8948,SESS875337,System operation terminated,,466,211.28.214.84
LOG000152,2025-09-15 19:51:13,AUTH_SERVICE,ERROR,USR7755,SESS411749,System operation completed,,2140,203.20.250.6
LOG000153,2025-09-14 07:19:13,PAYMENT_GATEWAY,WARN,USR3185,SESS579345,System operation completed,,3986,153.226.74.191
LOG000154,2025-09-09 15:04:13,AUTH_SERVICE,INFO,USR1717,SESS589811,System operation terminated,,4254,10.8.115.238
LOG000155,2025-09-13 18:31:13,AUTH_SERVICE,WARN,,SESS889047,System operation failed,,1189,115.106.197.199
LOG000156,2025-09-16 05:24:13,DATABASE,INFO,,SESS101120,System operation terminated,,4295,242.182.86.246
LOG000157,2025-09-11 04:14:13,API_GATEWAY,ERROR,,SESS875865,System operation terminated,ERR725,3575,11.102.157.18
LOG000158,2025-09-09 10:29:13,API_GATEWAY,ERROR,,SESS139609,System operation failed,,892,154.72.175.104
LOG000159,2025-09-13 08:52:13,AUTH_SERVICE,ERROR,USR4549,SESS458879,System operation completed,,409,108.43.232.57
LOG000160,2025-09-14 21:07:13,USER_PORTAL,ERROR,USR1296,SESS642635,System operation completed,,618,165.68.79.170
LOG000161,2025-09-10 15:29:13,API_GATEWAY,INFO,,SESS714124,System operation failed,,1648,209.229.17.243
LOG000162,2025-09-14 18:08:13,AUTH_SERVICE,ERROR,USR5108,SESS162461,System operation initiated,,2158,28.228.120.163
LOG000163,2025-09-10 05:54:13,AUTH_SERVICE,DEBUG,USR4760,SESS176732,System operation initiated,ERR918,1392,233.53.245.113
LOG000164,2025-09-13 05:14:13,USER_PORTAL,INFO,USR5233,SESS620868,System operation terminated,,1413,93.245.249.239
LOG000165,2025-09-15 06:14:13,USER_PORTAL,ERROR,,SESS406211,System operation completed,ERR939,829,218.126.75.117
LOG000166,2025-09-11 16:43:13,USER_PORTAL,DEBUG,USR8644,SESS466352,System operation terminated,,3302,202.32.221.41
LOG000167,2025-09-13 14:23:13,PAYMENT_GATEWAY,ERROR,,SESS612734,System operation failed,,829,89.188.52.92
LOG000168,2025-09-09 16:36:13,USER_PORTAL,INFO,USR4912,SESS584041,System operation failed,ERR610,429,95.107.209.126
LOG000169,2025-09-14 09:03:13,PAYMENT_GATEWAY,WARN,,SESS186448,System operation failed,,4229,156.29.39.157
LOG000170,2025-09-09 20:04:13,API_GATEWAY,INFO,USR3906,SESS611997,System operation terminated,ERR590,4527,63.138.51.163
LOG000171,2025-09-10 02:52:13,DATABASE,ERROR,USR5696,SESS557037,System operation terminated,,3312,78.64.253.198
LOG000172,2025-09-11 02:00:13,AUTH_SERVICE,ERROR,USR2772,SESS243328,System operation failed,,1518,159.83.126.23
LOG000173,2025-09-14 12:59:13,PAYMENT_GATEWAY,DEBUG,USR9464,SESS101384,System operation completed,,777,53.155.185.62
LOG000174,2025-09-10 08:47:13,USER_PORTAL,ERROR,USR8883,SESS270668,System operation failed,,2054,85.21.195.206
LOG000175,2025-09-09 21:36:13,USER_PORTAL,DEBUG,,SESS933567,System operation terminated,ERR971,2149,99.236.13.1
LOG000176,2025-09-12 00:58:13,AUTH_SERVICE,INFO,USR9540,SESS669112,System operation terminated,ERR992,3039,203.207.140.163
LOG000177,2025-09-15 02:02:13,PAYMENT_GATEWAY,WARN,,SESS397290,System operation failed,ERR441,1559,104.145.62.150
LOG000178,2025-09-09 09:47:13,USER_PORTAL,INFO,USR7034,SESS112244,System operation initiated,,1774,59.48.1.105
LOG000179,2025-09-11 02:51:13,API_GATEWAY,DEBUG,,SESS581042,System operation completed,,2655,94.68.249.4
LOG000180,2025-09-14 16:33:13,DATABASE,INFO,USR9903,SESS718873,System operation initiated,,3726,37.123.250.234
LOG000181,2025-09-11 15:15:13,PAYMENT_GATEWAY,WARN,USR8686,SESS643437,System operation terminated,,4615,224.19.60.139
LOG000182,2025-09-14 08:52:13,PAYMENT_GATEWAY,INFO,USR9726,SESS209080,System operation terminated,,4491,107.213.7.239
LOG000183,2025-09-12 20:45:13,AUTH_SERVICE,WARN,,SESS398153,System operation failed,,2303,9.128.124.178
LOG000184,2025-09-12 05:55:13,USER_PORTAL,ERROR,USR4482,SESS267872,System operation failed,,4847,228.109.102.179
LOG000185,2025-09-14 21:29:13,DATABASE,WARN,USR9080,SESS610908,System operation completed,ERR992,2718,95.117.249.92
LOG000186,2025-09-14 12:36:13,AUTH_SERVICE,DEBUG,USR7145,SESS370397,System operation failed,,910,56.59.104.204
LOG000187,2025-09-09 14:17:13,API_GATEWAY,DEBUG,USR7733,SESS643007,System operation failed,ERR462,3094,119.244.6.64
LOG000188,2025-09-16 05:20:13,AUTH_SERVICE,DEBUG,USR2630,SESS618487,System operation terminated,,2019,75.177.79.191
LOG000189,2025-09-13 12:51:13,AUTH_SERVICE,WARN,USR7270,SESS369742,System operation completed,,251,36.246.121.203
LOG000190,2025-09-16 05:26:13,API_GATEWAY,INFO,USR1450,SESS641514,System operation terminated,,2395,36.32.217.62
LOG000191,2025-09-15 07:51:13,AUTH_SERVICE,ERROR,USR4423,SESS915085,System operation completed,,4278,231.232.48.150
LOG000192,2025-09-13 08:31:13,PAYMENT_GATEWAY,ERROR,USR7395,SESS685140,System operation terminated,,681,225.145.171.154
LOG000193,2025-09-13 17:45:13,AUTH_SERVICE,ERROR,USR8079,SESS149806,System operation terminated,,173,90.80.74.56
LOG000194,2025-09-09 11:52:13,AUTH_SERVICE,ERROR,USR8985,SESS741497,System operation initiated,,474,142.220.213.165
LOG000195,2025-09-15 02:36:13,API_GATEWAY,INFO,,SESS806971,System operation failed,,3052,55.144.205.249
LOG000196,2025-09-09 23:03:13,DATABASE,DEBUG,USR5517,SESS342653,System operation failed,ERR148,4602,78.249.58.77
LOG000197,2025-09-09 20:24:13,PAYMENT_GATEWAY,WARN,USR2291,SESS274064,System operation terminated,,4805,117.224.85.255
LOG000198,2025-09-15 16:51:13,DATABASE,DEBUG,USR2841,SESS635207,System operation terminated,ERR826,2452,101.201.253.171
LOG000199,2025-09-14 00:01:13,AUTH_SERVICE,INFO,USR8782,SESS930720,System operation initiated,,4808,230.91.203.51
LOG000200,2025-09-14 02:15:13,PAYMENT_GATEWAY,INFO,,SESS958628,System operation completed,,2365,248.110.175.105
LOG000201,2025-09-13 15:22:13,PAYMENT_GATEWAY,DEBUG,USR3623,SESS161762,System operation terminated,,4288,130.193.230.65
LOG000202,2025-09-13 22:47:13,API_GATEWAY,ERROR,USR6363,SESS689004,System operation failed,,4734,31.83.101.45
LOG000203,2025-09-15 10:50:13,API_GATEWAY,ERROR,USR3443,SESS987106,System operation terminated,ERR674,2567,61.86.176.197
LOG000204,2025-09-12 19:18:13,AUTH_SERVICE,INFO,USR1851,SESS884080,System operation terminated,,555,175.60.202.134
LOG000205,2025-09-10 17:33:13,AUTH_SERVICE,INFO,USR7886,SESS341819,System operation initiated,,4729,140.24.7.39
LOG000206,2025-09-13 21:37:13,USER_PORTAL,WARN,,SESS866199,System operation initiated,,3845,64.149.54.120
LOG000207,2025-09-13 01:25:13,API_GATEWAY,WARN,USR7132,SESS333154,System operation terminated,ERR327,603,181.93.173.129
LOG000208,2025-09-16 02:06:13,USER_PORTAL,WARN,USR8212,SESS657590,System operation completed,,4849,104.91.23.109
LOG000209,2025-09-09 22:56:13,PAYMENT_GATEWAY,DEBUG,USR2936,SESS698313,System operation completed,,3814,80.223.43.165
LOG000210,2025-09-14 16:32:13,USER_PORTAL,WARN,USR8434,SESS729308,System operation terminated,,1469,161.133.174.231
LOG000211,2025-09-11 04:18:13,API_GATEWAY,WARN,USR7590,SESS164546,System operation failed,,3503,34.121.7.14
LOG000212,2025-09-12 08:27:13,PAYMENT_GATEWAY,DEBUG,,SESS510257,System operation initiated,ERR582,2611,2.84.213.146
LOG000213,2025-09-11 11:35:13,API_GATEWAY,ERROR,USR2461,SESS385817,System operation failed,ERR126,2454,238.175.107.237
LOG000214,2025-09-15 22:06:13,AUTH_SERVICE,INFO,USR3056,SESS807785,System operation initiated,,2682,65.173.236.22
LOG000215,2025-09-13 04:24:13,API_GATEWAY,DEBUG,USR9142,SESS538948,System operation initiated,,4210,198.172.123.71
LOG000216,2025-09-11 11:25:13,USER_PORTAL,INFO,USR1212,SESS495175,System operation terminated,,26,208.83.149.116
LOG000217,2025-09-12 01:26:13,API_GATEWAY,ERROR,USR6393,SESS271209,System operation failed,,3201,26.80.44.172
LOG000218,2025-09-15 19:27:13,DATABASE,DEBUG,USR6145,SESS672895,System operation completed,,402,58.154.59.53
LOG000219,2025-09-09 10:33:13,DATABASE,WARN,,SESS705341,System operation initiated,,434,59.217.223.54
LOG000220,2025-09-10 17:54:13,USER_PORTAL,INFO,,SESS676515,System operation terminated,,581,15.203.159.99
LOG000221,2025-09-13 15:33:13,AUTH_SERVICE,INFO,USR9094,SESS389701,System operation initiated,,3641,13.57.43.172
LOG000222,2025-09-10 12:16:13,AUTH_SERVICE,ERROR,,SESS535282,System operation initiated,,1130,181.188.137.154
LOG000223,2025-09-15 14:32:13,API_GATEWAY,WARN,USR4093,SESS895120,System operation failed,,251,87.174.43.129
LOG000224,2025-09-11 16:57:13,AUTH_SERVICE,INFO,USR2842,SESS473202,System operation initiated,,3907,255.24.106.212
LOG000225,2025-09-11 10:44:13,USER_PORTAL,WARN,USR6112,SESS942695,System operation initiated,,4105,14.92.190.178
LOG000226,2025-09-12 08:48:13,USER_PORTAL,INFO,,SESS365919,System operation completed,,2289,25.187.157.193
LOG000227,2025-09-11 23:53:13,AUTH_SERVICE,WARN,,SESS121341,System operation failed,,798,230.78.187.183
LOG000228,2025-09-13 17:22:13,AUTH_SERVICE,DEBUG,USR5827,SESS889407,System operation failed,,724,113.13.164.197
LOG000229,2025-09-12 01:11:13,DATABASE,DEBUG,USR5260,SESS966946,System operation failed,,4864,42.159.129.5
LOG000230,2025-09-11 10:14:13,DATABASE,DEBUG,,SESS342752,System operation initiated,,2859,184.110.71.84
LOG000231,2025-09-16 05:17:13,USER_PORTAL,DEBUG,USR8198,SESS667430,System operation failed,,785,163.227.150.101
LOG000232,2025-09-10 11:19:13,API_GATEWAY,ERROR,USR6296,SESS100198,System operation initiated,,4036,185.226.188.91
LOG000233,2025-09-10 03:11:13,API_GATEWAY,INFO,USR3677,SESS976136,System operation initiated,ERR544,2257,110.74.13.26
LOG000234,2025-09-12 01:30:13,API_GATEWAY,DEBUG,USR2010,SESS205572,System operation completed,ERR258,88,189.28.103.75
LOG000235,2025-09-09 13:16:13,PAYMENT_GATEWAY,WARN,USR2895,SESS965913,System operation terminated,,3936,56.114.100.131
LOG000236,2025-09-09 21:24:13,AUTH_SERVICE,WARN,USR6597,SESS800933,System operation failed,,865,122.135.81.51
LOG000237,2025-09-14 09:32:13,PAYMENT_GATEWAY,WARN,USR7000,SESS141136,System operation completed,,2158,57.118.220.190
LOG000238,2025-09-12 13:27:13,USER_PORTAL,INFO,USR4598,SESS545258,System operation terminated,ERR290,1041,27.216.103.24
LOG000239,2025-09-11 19:34:13,AUTH_SERVICE,ERROR,USR7680,SESS214219,System operation completed,ERR555,4950,74.225.42.141
LOG000240,2025-09-16 02:28:13,PAYMENT_GATEWAY,DEBUG,,SESS677061,System operation failed,,3281,85.96.164.104
LOG000241,2025-09-09 14:09:13,API_GATEWAY,INFO,USR5406,SESS276786,System operation terminated,ERR413,3586,2.8.92.228
LOG000242,2025-09-09 10:20:13,USER_PORTAL,WARN,,SESS735536,System operation failed,ERR877,4192,169.254.20.128
LOG000243,2025-09-10 16:52:13,PAYMENT_GATEWAY,INFO,USR1686,SESS313062,System operation terminated,,3466,146.153.143.143
LOG000244,2025-09-14 10:33:13,AUTH_SERVICE,DEBUG,USR5081,SESS412269,System operation completed,,3516,54.187.157.217
LOG000245,2025-09-15 08:03:13,AUTH_SERVICE,WARN,,SESS251176,System operation terminated,ERR837,417,170.217.142.39
LOG000246,2025-09-11 17:13:13,DATABASE,INFO,USR1621,SESS283322,System operation terminated,,2721,240.172.44.52
LOG000247,2025-09-12 10:14:13,API_GATEWAY,ERROR,USR7502,SESS659369,System operation terminated,,3098,125.248.98.227
LOG000248,2025-09-11 06:48:13,API_GATEWAY,WARN,USR7870,SESS824439,System operation failed,ERR901,1678,165.18.92.203
LOG000249,2025-09-13 10:10:13,AUTH_SERVICE,INFO,USR3199,SESS723278,System operation failed,,157,7.249.155.154
LOG000250,2025-09-11 20:40:13,USER_PORTAL,INFO,USR5519,SESS886065,System operation failed,,4337,150.133.46.190
LOG000251,2025-09-13 11:28:13,DATABASE,DEBUG,USR3393,SESS477004,System operation initiated,,3907,81.245.231.173
LOG000252,2025-09-10 13:03:13,AUTH_SERVICE,DEBUG,USR1033,SESS402497,System operation failed,ERR182,1960,51.179.200.40
LOG000253,2025-09-10 23:06:13,AUTH_SERVICE,INFO,USR3656,SESS800634,System operation initiated,,375,72.137.140.99
LOG000254,2025-09-14 11:49:13,USER_PORTAL,DEBUG,USR9284,SESS269536,System operation initiated,,1684,52.238.186.221
LOG000255,2025-09-14 14:54:13,API_GATEWAY,DEBUG,USR8906,SESS159147,System operation initiated,ERR570,4541,63.87.136.235
LOG000256,2025-09-13 11:01:13,AUTH_SERVICE,DEBUG,USR4568,SESS308198,System operation failed,,4504,248.50.141.20
LOG000257,2025-09-10 18:58:13,DATABASE,DEBUG,,SESS380655,System operation failed,,2556,121.77.26.185
LOG000258,2025-09-12 00:44:13,DATABASE,INFO,USR1516,SESS165376,System operation terminated,,572,97.209.251.225
LOG000259,2025-09-16 06:37:13,PAYMENT_GATEWAY,WARN,USR3720,SESS287303,System operation initiated,,3572,203.216.35.30
LOG000260,2025-09-12 10:48:13,USER_PORTAL,WARN,USR3383,SESS820245,System operation initiated,ERR343,2499,121.164.185.146
LOG000261,2025-09-10 19:27:13,AUTH_SERVICE,WARN,USR8798,SESS540216,System operation initiated,,782,32.226.224.168
LOG000262,2025-09-13 16:12:13,USER_PORTAL,ERROR,,SESS931932,System operation initiated,,2047,27.109.186.227
LOG000263,2025-09-14 05:53:13,DATABASE,WARN,USR2275,SESS806307,System operation initiated,ERR726,3433,202.25.127.139
LOG000264,2025-09-10 17:41:13,USER_PORTAL,INFO,USR3545,SESS414383,System operation terminated,ERR955,2577,141.208.196.47
LOG000265,2025-09-11 23:39:13,DATABASE,WARN,USR9517,SESS581512,System operation completed,ERR685,1583,66.24.54.208
LOG000266,2025-09-14 22:17:13,API_GATEWAY,DEBUG,USR9081,SESS255918,System operation terminated,,3704,171.94.3.29
LOG000267,2025-09-11 23:38:13,API_GATEWAY,WARN,,SESS123341,System operation terminated,ERR232,3301,113.80.187.248
LOG000268,2025-09-14 03:34:13,AUTH_SERVICE,ERROR,USR9471,SESS753342,System operation terminated,ERR754,1256,216.4.214.79
LOG000269,2025-09-16 07:43:13,API_GATEWAY,INFO,USR7635,SESS302162,System operation failed,,3729,236.94.130.113
LOG000270,2025-09-11 16:25:13,DATABASE,INFO,,SESS735612,System operation completed,,3849,156.18.122.180
LOG000271,2025-09-16 04:28:13,USER_PORTAL,ERROR,,SESS680457,System operation failed,,369,3.193.77.124
LOG000272,2025-09-15 05:40:13,PAYMENT_GATEWAY,ERROR,USR7733,SESS193071,System operation failed,ERR358,2386,242.164.217.65
LOG000273,2025-09-11 17:11:13,DATABASE,WARN,USR2665,SESS857642,System operation completed,,3019,69.253.99.189
LOG000274,2025-09-09 21:34:13,PAYMENT_GATEWAY,INFO,,SESS794460,System operation terminated,,3003,190.222.81.45
LOG000275,2025-09-16 00:53:13,AUTH_SERVICE,DEBUG,USR7007,SESS228936,System operation terminated,,972,99.100.45.192
LOG000276,2025-09-14 02:00:13,API_GATEWAY,WARN,USR5711,SESS717575,System operation initiated,,3642,51.81.83.60
LOG000277,2025-09-11 19:40:13,USER_PORTAL,ERROR,,SESS129333,System operation terminated,ERR237,1837,137.205.161.211
LOG000278,2025-09-10 15:48:13,API_GATEWAY,WARN,USR2733,SESS657448,System operation failed,,1623,149.95.119.116
LOG000279,2025-09-09 16:53:13,AUTH_SERVICE,ERROR,,SESS219574,System operation completed,ERR864,1650,183.170.26.78
LOG000280,2025-09-14 12:48:13,AUTH_SERVICE,ERROR,USR4294,SESS514471,System operation terminated,ERR787,2226,215.199.183.150
LOG000281,2025-09-10 15:42:13,DATABASE,DEBUG,,SESS283832,System operation failed,ERR405,4322,6.157.199.79
LOG000282,2025-09-15 01:10:13,API_GATEWAY,WARN,,SESS720455,System operation terminated,,387,147.150.219.180
LOG000283,2025-09-15 16:25:13,DATABASE,INFO,,SESS541812,System operation terminated,ERR491,4224,29.3.243.77
LOG000284,2025-09-16 08:26:13,USER_PORTAL,ERROR,USR8730,SESS762308,System operation completed,,4295,221.179.171.63
LOG000285,2025-09-09 20:08:13,API_GATEWAY,INFO,USR8727,SESS152074,System operation completed,ERR781,379,232.197.216.227
LOG000286,2025-09-12 21:57:13,API_GATEWAY,DEBUG,,SESS193294,System operation terminated,,2206,223.235.81.198
LOG000287,2025-09-14 18:06:13,AUTH_SERVICE,WARN,USR4354,SESS200665,System operation initiated,,3757,38.82.172.111
LOG000288,2025-09-14 11:45:13,DATABASE,WARN,USR7365,SESS670464,System operation completed,,661,35.85.176.223
LOG000289,2025-09-10 21:04:13,API_GATEWAY,DEBUG,USR9661,SESS732772,System operation initiated,,779,92.140.158.241
LOG000290,2025-09-13 22:21:13,DATABASE,ERROR,USR7638,SESS707865,System operation initiated,,2431,177.240.53.166
LOG000291,2025-09-14 15:17:13,DATABASE,ERROR,USR1385,SESS699367,System operation failed,,790,19.47.168.88
LOG000292,2025-09-15 05:21:13,API_GATEWAY,DEBUG,USR6345,SESS785174,System operation terminated,,1726,200.224.234.172
LOG000293,2025-09-13 05:50:13,USER_PORTAL,INFO,USR1628,SESS444705,System operation terminated,ERR932,3993,179.108.94.50
LOG000294,2025-09-10 12:30:13,API_GATEWAY,DEBUG,,SESS981936,System operation completed,ERR896,1321,8.129.217.232
LOG000295,2025-09-14 00:21:13,PAYMENT_GATEWAY,WARN,USR3173,SESS751002,System operation failed,ERR133,3369,31.29.29.60
LOG000296,2025-09-09 21:29:13,USER_PORTAL,INFO,,SESS421937,System operation completed,ERR572,532,246.228.103.200
LOG000297,2025-09-14 17:00:13,USER_PORTAL,ERROR,USR8484,SESS300670,System operation failed,ERR955,531,12.27.107.226
LOG000298,2025-09-10 23:10:13,AUTH_SERVICE,ERROR,USR5349,SESS430263,System operation failed,ERR516,4888,233.133.165.4
LOG000299,2025-09-15 15:07:13,USER_PORTAL,DEBUG,,SESS123419,System operation initiated,,2330,215.54.205.8
LOG000300,2025-09-14 01:37:13,AUTH_SERVICE,ERROR,,SESS357786,System operation terminated,,945,208.224.64.168
